AnimalName,AnimalGender,AgeAsOf2015,BreedName,Borough
ACE,M,3,"Schnauzer, Standard",Bronx
ACE,M,7,Unknown,Staten Island
ACE,M,3,American Pit Bull Mix / Pit Bull Mix,Queens
ACE,M,4,"Schnauzer, Miniature",Bronx
ACE,M,3,American Foxhound,Brooklyn
ACE,M,9,Maltese,Brooklyn
ACE,M,7,American Pit Bull Terrier/Pit Bull,Brooklyn
ACE,M,4,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ACE,M,7,"Dachshund, Wirehaired",Manhattan
ACE,M,9,Yorkshire Terrier,Manhattan
ACE,M,2,Lhasa Apso,Bronx
ACE,M,3,Labrador Retriever,Staten Island
ACE,M,4,Labrador Retriever,Manhattan
ACE,M,2,Siberian Husky,Staten Island
ACE,M,2,German Shepherd Dog,Queens
ACE,M,3,American Pit Bull Mix / Pit Bull Mix,Bronx
ACE,M,2,American Staffordshire Terrier,Bronx
ACE,M,3,American Pit Bull Mix / Pit Bull Mix,Manhattan
ACE,M,2,German Shepherd Dog,Brooklyn
ACE,M,11,American Pit Bull Terrier/Pit Bull,Bronx
ACE,M,3,Labrador Retriever,Staten Island
ACE,M,8,American Pit Bull Terrier/Pit Bull,Queens
ACE,M,7,Unknown,Bronx
ACE,M,5,Golden Retriever,Brooklyn
ACE,M,3,Shih Tzu,Manhattan
ACE,M,5,American Staffordshire Terrier,Queens
ACE,M,5,Unknown,Brooklyn
ACE,M,7,American Pit Bull Terrier/Pit Bull,Staten Island
ACE,M,6,Puggle,Staten Island
ACE,M,7,Pekingese,Brooklyn
ACE,M,9,Labrador Retriever,Manhattan
ACE,M,2,Beagle,Bronx
ACE,M,5,Shiba Inu,Brooklyn
ACE,M,1,Poodle,Queens
ACE,M,10,Beagle Crossbreed,Brooklyn
ACE,M,5,Siberian Husky,Manhattan
ACE,M,9,Shetland Sheepdog,Brooklyn
ACE,M,4,German Shepherd Crossbreed,Bronx
ACE,M,7,Puggle,Brooklyn
ACE,M,13,Beagle,QUEENS
ACE,M,7,Border Collie,Manhattan
ACE,M,4,German Shepherd Dog,Brooklyn
ACE,M,2,"Schnauzer, Miniature",Queens
ACE,M,9,"Poodle, Miniature",Brooklyn
ACE,M,5,Chihuahua,Bronx
ACE,M,2,American Pit Bull Terrier/Pit Bull,Brooklyn
ACE,M,7,Yorkshire Terrier,Brooklyn
ACE,M,6,Unknown,Brooklyn
ACE,M,4,Miniature Pinscher,Brooklyn
ACE,M,2,Unknown,Manhattan
ACE,M,8,Doberman Pinscher,Queens
ACE,M,3,Papillon,Queens
ACE,M,4,Pomeranian,Bronx
ACE,M,7,Labrador Retriever,Manhattan
ACE,M,2,Border Terrier,Manhattan
ACE,M,12,Bichon Frise,Brooklyn
ACE,M,1,Chow Chow,Manhattan
ACE,M,5,Unknown,Brooklyn
ACE,M,5,Australian Shepherd,Manhattan
ACE,M,4,Rottweiler,Queens
ACE,M,6,Unknown,Manhattan
ACE,F,11,Unknown,Manhattan
ACE,M,3,Maltese,Queens
ACE,M,9,Staffordshire Bull Terrier,Queens
ACE,M,2,American Pit Bull Terrier/Pit Bull,Manhattan
ACE,M,12,Pomeranian,Manhattan
ACE,M,6,Labrador Retriever,Staten Island
ACE,M,5,German Shepherd Dog,Bronx
ACE,M,7,Wheaton Terrier,BRONX
ACE,M,6,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ACE,M,7,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ACE,M,3,American Eskimo dog,Manhattan
ACE,M,7,Unknown,Queens
ACE,M,3,Yorkshire Terrier,Queens
ACE,M,1,American Pit Bull Terrier/Pit Bull,Staten Island
ACE,M,6,Unknown,Manhattan
ACE,M,7,Labrador Retriever,Manhattan
ACE,M,9,Labrador Retriever,Manhattan
ACE,M,10,American Pit Bull Mix / Pit Bull Mix,Queens
ACE,M,7,American Pit Bull Terrier/Pit Bull,Brooklyn
ACE,M,5,American Pit Bull Terrier/Pit Bull,Bronx
ACE,M,1,Yorkshire Terrier,Staten Island
ACE,M,3,American Pit Bull Terrier/Pit Bull,Manhattan
ACE,M,3,Labrador Retriever,Manhattan
ACE,M,3,American Pit Bull Terrier/Pit Bull,Manhattan
ACE,M,6,Chihuahua,Bronx
ACE,M,4,"Dachshund, Long Haired Miniature",Brooklyn
ACE-DAVE,M,7,Unknown,Queens
ACE-DAVE,M,7,Unknown,Queens
ACER,M,3,Unknown,Bronx
ACER,M,5,Chihuahua,Bronx
ACHAK,M,2,German Shorthaired Pointer,Staten Island
ACHILES,M,11,Unknown,Staten Island
ACHILES,M,11,Unknown,Staten Island
ACHILLES,M,3,German Shepherd Crossbreed,Bronx
ACHILLES,M,6,"Shar-Pei, Chinese",Bronx
ACHILLES,M,4,American Pit Bull Terrier/Pit Bull,Bronx
ACHILLES,M,3,Pomeranian,Brooklyn
ACHILLES,M,3,Beagle,Queens
ACHILLES,M,7,Rottweiler,Brooklyn
ACHILLES,M,4,Unknown,Bronx
ACHILLES,M,8,American Pit Bull Terrier/Pit Bull,Brooklyn
ACHILLES,M,8,Unknown,Bronx
ACHILLES,M,2,German Shepherd Dog,Queens
ACHILLES,M,5,Akita Crossbreed,Staten Island
ACHILLES,M,2,Boxer,Brooklyn
ACHILLES,M,2,Labrador Retriever,Bronx
ACHILLES,M,7,Basenji,Manhattan
ACHILLES,M,2,Labrador Retriever,Manhattan
ACHILLES,M,9,"Bull Dog, English",Brooklyn
ACHILLES,M,4,Labradoodle,Manhattan
ACHILLES,M,10,Chihuahua,Queens
ACHILLES,M,2,Unknown,Manhattan
ACHILLES,M,5,Boxer,Brooklyn
ACHILLES,M,4,Doberman Pinscher,Staten Island
ACHILLES,M,11,Siberian Husky,Queens
ACHILLES,F,2,Yorkshire Terrier,Queens
ACHILLES,M,10,Unknown,Bronx
ACHILLES,M,8,Maltese,Bronx
ACHILLES,M,6,Puggle,Queens
ACHILLES,M,6,Siberian Husky,Queens
ACHILLES,M,3,Beagle,Queens
ACHILLES,M,8,American Pit Bull Terrier/Pit Bull,Brooklyn
ACHILLES,M,1,Boxer,Staten Island
ACHILLES,M,11,Yorkshire Terrier,Bronx
ACHILLES,M,2,Boxer,Queens
ACHILLES,M,10,Chihuahua,Queens
ACHILLES,M,3,Siberian Husky,Queens
ACHILLES,M,5,Akita Crossbreed,Staten Island
ACHILLIES,M,4,American Pit Bull Mix / Pit Bull Mix,Bronx
ACHILLIES,M,2,American Pit Bull Mix / Pit Bull Mix,Brooklyn
ACHILLIES,M,4,"Schnauzer, Miniature",Manhattan
ACHILLIES,M,11,Rottweiler,Manhattan
ACHOO,M,7,West High White Terrier,Manhattan
ACKERMAN,M,7,Cocker Spaniel,Queens
ACKLEY,M,2,Labrador Retriever,Brooklyn
ACKLEY,M,3,Labrador Retriever,Brooklyn
ADA,F,3,American Pit Bull Terrier/Pit Bull,Queens
ADA,F,6,Bichon Frise,Bronx
ADA,F,3,Rat Terrier,Manhattan
ADA,F,1,Collie Crossbreed,Brooklyn
ADA,F,3,Terrier mix,Brooklyn
ADA,F,3,Unknown,Manhattan
ADA,F,3,Rat Terrier,Manhattan
ADAGIO,M,6,Maltese,Manhattan
ADAH,F,5,German Shepherd Crossbreed,Brooklyn
ADALYN,F,9,Unknown,Manhattan
ADALYN,F,3,Labrador Retriever,Manhattan
ADAM,M,3,Unknown,Brooklyn
ADAM,M,4,Yorkshire Terrier,Bronx
ADAM,M,9,Yorkshire Terrier,Manhattan
ADAM,M,2,Pomeranian,Bronx
ADAM,M,2,Labrador Retriever,Brooklyn
ADAM,M,3,Unknown,Brooklyn
ADAM,M,10,Unknown,Brooklyn
ADAM,M,5,Shih Tzu,Queens
ADAM,M,7,"Poodle, Toy",Brooklyn
ADAM,M,7,West High White Terrier,Staten Island
ADAMA,M,4,Havanese,Manhattan
ADAR,M,8,Unknown,Staten Island
ADDER,F,7,Unknown,Brooklyn
